############################################################
# SHIM CENSUS: 245 inline shims in stdafx_linux.h
#   adapt=2, noop-const=114, noop-risky=69, real=60
# NOTE: classification is heuristic triage, not an audited verdict.
# 'noop-risky' entries need human review (do they break callers?).
############################################################
shim_name	classification	caller_count	callers	signature
SetTimer	noop-const	6	source/application.cpp,source/globaldata.h,source/lib/InputBox.cpp,source/linux/core/core_timer_linux.cpp,source/script.cpp,source/script2.cpp	{
KillTimer	noop-const	4	source/application.cpp,source/globaldata.h,source/lib/InputBox.cpp,source/window.cpp	{
IsWindowVisible	noop-const	7	source/WinGroup.cpp,source/lib/win.cpp,source/script.cpp,source/script2.cpp,source/script_gui.cpp,source/window.cpp,source/window.h	{
PostQuitMessage	noop-const	4	source/AutoHotkey.cpp,source/hook.cpp,source/script.cpp,source/script2.cpp	{
SetCurrentDirectory	real	3	source/lib/file.cpp,source/script.cpp,source/script2.cpp	{
SetDllDirectory	noop-const	1	source/script.cpp	{
GetModuleHandleEx	noop-const	1	source/script.cpp	{
CompareStringOrdinal	noop-const	1	source/util.h	{
IsCharUpper	noop-const	3	source/hook.cpp,source/script.cpp,source/script2.cpp	{
CoTaskMemFree	noop-const	5	source/lib/DllCall.cpp,source/lib/sound.cpp,source/script.cpp,source/script2.cpp,source/util.cpp	{
SendMessageTimeout	noop-risky	7	source/hook.cpp,source/hotkey.cpp,source/lib/win.cpp,source/script2.cpp,source/script_autoit.cpp,source/window.cpp,source/window.h	{
UnhookWindowsHookEx	noop-risky	3	source/hook.cpp,source/hotkey.cpp,source/keyboard_mouse.cpp	{
RegisterHotKey	noop-risky	1	source/hotkey.cpp	{
UnregisterHotKey	noop-risky	1	source/hotkey.cpp	{
GetWindow	noop-risky	2	source/WinGroup.cpp,source/window.cpp	{
AttachThreadInput	noop-const	5	source/keyboard_mouse.cpp,source/lib/win.cpp,source/script.h,source/script2.cpp,source/window.cpp	{
BringWindowToTop	noop-const	1	source/window.cpp	{
EnumWindows	noop-const	5	source/WinGroup.cpp,source/lib/win.cpp,source/linux/PlatformAbstraction.h,source/script_gui.cpp,source/window.cpp	{
ReadProcessMemory	noop-const	2	source/lib/win.cpp,source/window.cpp	{
MessageBox	noop-const	10	source/Debugger.cpp,source/MdFunc.cpp,source/application.cpp,source/globaldata.h,source/hook.h,source/hotkey.cpp,source/linux/core/core_md_func_linux.cpp,source/script.cpp,source/script2.cpp,source/window.cpp	{
GetCurrentProcessId	noop-const	3	source/lib/process.cpp,source/script_gui.cpp,source/window.cpp	{
GetTopWindow	noop-const	1	source/window.cpp	{
DwmGetWindowAttribute	noop-risky	1	source/window.cpp	{
GetQueueStatus	noop-const	3	source/application.cpp,source/window.cpp,source/window.h	{
PeekMessage	noop-const	8	source/AutoHotkey.cpp,source/application.cpp,source/defines.h,source/hook.cpp,source/script.cpp,source/script2.cpp,source/script_gui.cpp,source/window.h	{
CheckMenuItem	noop-const	3	source/script.cpp,source/script2.cpp,source/script_menu.cpp	{
GetWindowText	noop-risky	8	source/hook.cpp,source/keyboard_mouse.cpp,source/lib/InputBox.cpp,source/lib/win.cpp,source/script.cpp,source/script2.cpp,source/script_gui.cpp,source/window.cpp	{
GetShortPathName	noop-const	2	source/lib/vars.cpp,source/script.cpp	{
CreateProcess	real	2	source/linux/core/core_ctrl_linux.cpp,source/script.cpp	{
GetProcessId	noop-const	5	source/lib/process.cpp,source/lib/wait.cpp,source/linux/core/core_builtin_stubs.cpp,source/linux/core/core_mdfunc_linux.cpp,source/script_autoit.cpp	{
WaitForSingleObject	real	4	source/hook.cpp,source/lib/wait.cpp,source/linux/core/core_builtin_stubs.cpp,source/script_autoit.cpp	{
GetExitCodeProcess	real	2	source/lib/wait.cpp,source/linux/core/core_builtin_stubs.cpp	{
TerminateProcess	real	2	source/lib/process.cpp,source/script_autoit.cpp	{
ShellExecuteEx	real	1	source/script.cpp	{
RegisterWindowMessage	noop-risky	1	source/script2.cpp	{
